        date_obs         |       bjd        |        rv        |       err_rv        | start_time | end_time |  object  
 2005-09-02T04:45:13.547 | 2453615.70032924 | 23.1519511848509 |   0.294037930314672 |      0.035 |    0.038 | Beta-Hyi
 2005-09-02T07:19:12.234 | 2453615.80721295 | 23.1525788181108 |    0.27516783612812 |      0.037 |    0.036 | Beta-Hyi
 2005-09-02T07:20:33.442 |   2453615.808162 | 23.1523842936464 |   0.277344131983795 |      0.036 |    0.038 | Beta-Hyi
 2005-09-02T07:23:15.537 | 2453615.81003695 | 23.1511630394215 |   0.288041758522732 |      0.036 |    0.037 | Beta-Hyi
 2005-09-02T07:24:37.115 |  2453615.8109397 | 23.1544532936124 |   0.332395628409934 |      0.038 |    0.037 | Beta-Hyi
 2005-09-02T07:25:57.263 | 2453615.81190032 | 23.1546441331126 |   0.293940051506761 |      0.036 |    0.036 | Beta-Hyi
 2005-09-02T07:27:18.601 |  2453615.8128378 | 23.1564466536691 |   0.257259831662328 |      0.035 |    0.039 | Beta-Hyi
 2005-09-02T07:28:39.709 | 2453615.81377527 | 23.1547621176031 |   0.286423331079212 |      0.035 |    0.036 | Beta-Hyi
 2005-09-02T07:30:00.707 | 2453615.81471275 |  23.155471115876 |   0.320111561856621 |      0.038 |    0.037 | Beta-Hyi
 2005-09-02T07:31:21.345 |  2453615.8156618 | 23.1551410622508 |   0.271011283211604 |      0.036 |    0.038 | Beta-Hyi
 2005-09-02T07:32:42.173 |  2453615.8165877 | 23.1533009739045 |   0.275115327525202 |      0.035 |    0.037 | Beta-Hyi
 2005-09-02T07:34:02.690 | 2453615.81753675 | 23.1526665959552 |   0.283794837144563 |      0.037 |    0.039 | Beta-Hyi
 2005-09-02T03:11:34.161 | 2453615.63526153 |  23.152509121896 |   0.291254084682417 |      0.037 |    0.036 | Beta-Hyi
 2005-09-02T03:12:54.719 | 2453615.63618743 | 23.1541962864916 |   0.280421653380027 |      0.038 |    0.039 | Beta-Hyi
 2005-09-02T03:14:15.296 | 2453615.63712491 | 23.1536649526613 |   0.253304143406735 |      0.037 |    0.037 | Beta-Hyi
 2005-09-02T03:15:36.814 | 2453615.63806238 | 23.1534908667659 |   0.258523929965624 |      0.034 |    0.036 | Beta-Hyi
 2005-09-02T03:16:58.042 | 2453615.63901143 |  23.152917742037 |   0.229998612030233 |      0.036 |    0.038 | Beta-Hyi
 2005-09-02T03:19:40.368 | 2453615.64088638 |  23.150626905438 |   0.259534404566186 |      0.035 |    0.036 | Beta-Hyi
 2005-09-02T03:21:02.086 | 2453615.64183543 | 23.1497065550335 |    0.30740461709758 |      0.037 |    0.038 | Beta-Hyi
 2005-09-02T03:22:22.344 | 2453615.64276133 |  23.149994480604 |    0.26937269236487 |      0.038 |    0.037 | Beta-Hyi
 2005-09-02T03:23:42.412 | 2453615.64368723 | 23.1516796837914 |   0.251510918785478 |      0.039 |    0.037 | Beta-Hyi
